entry_date,exit_date,entry_price,exit_price,pnl_%,hold_days,max_confidence
2023-05-25,2023-05-30,"Ticker
INFY.NS    1249.26
Name: 2023-05-25 00:00:00, dtype: float64","Ticker
INFY.NS    1267.94
Name: 2023-05-30 00:00:00, dtype: float64",1.5,3,0.96
2023-05-31,2023-06-08,"Ticker
INFY.NS    1262.62
Name: 2023-05-31 00:00:00, dtype: float64","Ticker
INFY.NS    1245.13
Name: 2023-06-08 00:00:00, dtype: float64",-1.38,6,0.978
2023-06-08,2023-06-16,"Ticker
INFY.NS    1245.13
Name: 2023-06-08 00:00:00, dtype: float64","Ticker
INFY.NS    1253.72
Name: 2023-06-16 00:00:00, dtype: float64",0.69,6,0.992
2023-06-16,2023-06-26,"Ticker
INFY.NS    1253.72
Name: 2023-06-16 00:00:00, dtype: float64","Ticker
INFY.NS    1233.05
Name: 2023-06-26 00:00:00, dtype: float64",-1.65,6,0.997
2023-06-26,2023-06-30,"Ticker
INFY.NS    1233.05
Name: 2023-06-26 00:00:00, dtype: float64","Ticker
INFY.NS    1296.29
Name: 2023-06-30 00:00:00, dtype: float64",5.13,3,0.997
2023-06-30,2023-07-04,"Ticker
INFY.NS    1296.29
Name: 2023-06-30 00:00:00, dtype: float64","Ticker
INFY.NS    1305.65
Name: 2023-07-04 00:00:00, dtype: float64",0.72,2,0.882
2023-07-05,2023-07-07,"Ticker
INFY.NS    1307.74
Name: 2023-07-05 00:00:00, dtype: float64","Ticker
INFY.NS    1291.14
Name: 2023-07-07 00:00:00, dtype: float64",-1.27,2,0.811
2023-07-13,2023-07-14,"Ticker
INFY.NS    1325.02
Name: 2023-07-13 00:00:00, dtype: float64","Ticker
INFY.NS    1384.08
Name: 2023-07-14 00:00:00, dtype: float64",4.46,1,0.921
2023-07-14,2023-07-17,"Ticker
INFY.NS    1384.08
Name: 2023-07-14 00:00:00, dtype: float64","Ticker
INFY.NS    1381.17
Name: 2023-07-17 00:00:00, dtype: float64",-0.21,1,0.739
2023-08-09,2023-08-18,"Ticker
INFY.NS    1353.46
Name: 2023-08-09 00:00:00, dtype: float64","Ticker
INFY.NS    1348.02
Name: 2023-08-18 00:00:00, dtype: float64",-0.4,6,0.888
2023-10-10,2023-10-16,"Ticker
INFY.NS    1451.25
Name: 2023-10-10 00:00:00, dtype: float64","Ticker
INFY.NS    1392.04
Name: 2023-10-16 00:00:00, dtype: float64",-4.08,4,0.978
2023-11-07,2023-11-10,"Ticker
INFY.NS    1380.71
Name: 2023-11-07 00:00:00, dtype: float64","Ticker
INFY.NS    1345.85
Name: 2023-11-10 00:00:00, dtype: float64",-2.52,3,0.927
2023-11-13,2023-11-16,"Ticker
INFY.NS    1350.48
Name: 2023-11-13 00:00:00, dtype: float64","Ticker
INFY.NS    1420.63
Name: 2023-11-16 00:00:00, dtype: float64",5.19,2,0.734
2023-11-17,2023-11-28,"Ticker
INFY.NS    1413.4
Name: 2023-11-17 00:00:00, dtype: float64","Ticker
INFY.NS    1418.46
Name: 2023-11-28 00:00:00, dtype: float64",0.36,6,0.99
2023-11-28,2023-12-06,"Ticker
INFY.NS    1418.46
Name: 2023-11-28 00:00:00, dtype: float64","Ticker
INFY.NS    1449.53
Name: 2023-12-06 00:00:00, dtype: float64",2.19,6,0.985
2023-12-06,2023-12-08,"Ticker
INFY.NS    1449.53
Name: 2023-12-06 00:00:00, dtype: float64","Ticker
INFY.NS    1466.1
Name: 2023-12-08 00:00:00, dtype: float64",1.14,2,0.925
