entry_date,exit_date,entry_price,exit_price,pnl_%,hold_days,max_confidence
2023-06-09,2023-06-19,"Ticker
KOTAKBANK.NS    1868.41
Name: 2023-06-09 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1821.05
Name: 2023-06-19 00:00:00, dtype: float64",-2.53,6,0.972
2023-06-19,2023-06-27,"Ticker
KOTAKBANK.NS    1821.05
Name: 2023-06-19 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1841.16
Name: 2023-06-27 00:00:00, dtype: float64",1.1,6,0.956
2023-06-28,2023-06-30,"Ticker
KOTAKBANK.NS    1837.02
Name: 2023-06-28 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1843.01
Name: 2023-06-30 00:00:00, dtype: float64",0.33,1,0.757
2023-07-20,2023-07-25,"Ticker
KOTAKBANK.NS    1953.15
Name: 2023-07-20 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1871.91
Name: 2023-07-25 00:00:00, dtype: float64",-4.16,3,0.76
2023-08-03,2023-08-04,"Ticker
KOTAKBANK.NS    1819.76
Name: 2023-08-03 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1836.49
Name: 2023-08-04 00:00:00, dtype: float64",0.92,1,0.765
2023-08-07,2023-08-16,"Ticker
KOTAKBANK.NS    1829.54
Name: 2023-08-07 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1784.24
Name: 2023-08-16 00:00:00, dtype: float64",-2.48,6,0.936
2023-08-16,2023-08-24,"Ticker
KOTAKBANK.NS    1784.24
Name: 2023-08-16 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1779.0
Name: 2023-08-24 00:00:00, dtype: float64",-0.29,6,0.985
2023-08-24,2023-09-01,"Ticker
KOTAKBANK.NS    1779.0
Name: 2023-08-24 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1769.16
Name: 2023-09-01 00:00:00, dtype: float64",-0.55,6,0.994
2023-09-01,2023-09-11,"Ticker
KOTAKBANK.NS    1769.16
Name: 2023-09-01 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1805.92
Name: 2023-09-11 00:00:00, dtype: float64",2.08,6,0.973
2023-09-11,2023-09-14,"Ticker
KOTAKBANK.NS    1805.92
Name: 2023-09-11 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1819.56
Name: 2023-09-14 00:00:00, dtype: float64",0.76,3,0.752
2023-09-18,2023-09-27,"Ticker
KOTAKBANK.NS    1796.38
Name: 2023-09-18 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1763.22
Name: 2023-09-27 00:00:00, dtype: float64",-1.85,6,0.988
2023-09-27,2023-09-28,"Ticker
KOTAKBANK.NS    1763.22
Name: 2023-09-27 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1731.3
Name: 2023-09-28 00:00:00, dtype: float64",-1.81,1,0.988
2023-10-04,2023-10-12,"Ticker
KOTAKBANK.NS    1720.16
Name: 2023-10-04 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1761.92
Name: 2023-10-12 00:00:00, dtype: float64",2.43,6,0.997
2023-10-16,2023-10-17,"Ticker
KOTAKBANK.NS    1747.83
Name: 2023-10-16 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1769.61
Name: 2023-10-17 00:00:00, dtype: float64",1.25,1,0.713
2023-10-23,2023-11-01,"Ticker
KOTAKBANK.NS    1738.84
Name: 2023-10-23 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1722.51
Name: 2023-11-01 00:00:00, dtype: float64",-0.94,6,0.944
2023-11-01,2023-11-06,"Ticker
KOTAKBANK.NS    1722.51
Name: 2023-11-01 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1738.29
Name: 2023-11-06 00:00:00, dtype: float64",0.92,3,0.901
2023-11-23,2023-12-04,"Ticker
KOTAKBANK.NS    1737.4
Name: 2023-11-23 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1816.56
Name: 2023-12-04 00:00:00, dtype: float64",4.56,6,0.964
2023-12-05,2023-12-13,"Ticker
KOTAKBANK.NS    1826.45
Name: 2023-12-05 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1824.2
Name: 2023-12-13 00:00:00, dtype: float64",-0.12,6,0.935
