entry_date,exit_date,entry_price,exit_price,pnl_%,hold_days,max_confidence
2023-07-03,2023-07-07,"Ticker
HDFCBANK.NS    1696.63
Name: 2023-07-03 00:00:00, dtype: float64","Ticker
HDFCBANK.NS    1638.03
Name: 2023-07-07 00:00:00, dtype: float64",-3.45,4,0.886
2023-08-25,2023-08-31,"Ticker
HDFCBANK.NS    1540.46
Name: 2023-08-25 00:00:00, dtype: float64","Ticker
HDFCBANK.NS    1550.28
Name: 2023-08-31 00:00:00, dtype: float64",0.64,4,0.902
2023-09-04,2023-09-07,"Ticker
HDFCBANK.NS    1563.2
Name: 2023-09-04 00:00:00, dtype: float64","Ticker
HDFCBANK.NS    1589.15
Name: 2023-09-07 00:00:00, dtype: float64",1.66,3,0.933
2023-09-22,2023-10-03,"Ticker
HDFCBANK.NS    1509.04
Name: 2023-09-22 00:00:00, dtype: float64","Ticker
HDFCBANK.NS    1487.73
Name: 2023-10-03 00:00:00, dtype: float64",-1.41,6,0.882
2023-10-16,2023-10-19,"Ticker
HDFCBANK.NS    1508.99
Name: 2023-10-16 00:00:00, dtype: float64","Ticker
HDFCBANK.NS    1494.54
Name: 2023-10-19 00:00:00, dtype: float64",-0.96,3,0.879
2023-10-20,2023-10-23,"Ticker
HDFCBANK.NS    1502.29
Name: 2023-10-20 00:00:00, dtype: float64","Ticker
HDFCBANK.NS    1485.76
Name: 2023-10-23 00:00:00, dtype: float64",-1.1,1,0.713
2023-10-31,2023-11-08,"Ticker
HDFCBANK.NS    1456.61
Name: 2023-10-31 00:00:00, dtype: float64","Ticker
HDFCBANK.NS    1471.46
Name: 2023-11-08 00:00:00, dtype: float64",1.02,6,0.966
2023-11-08,2023-11-15,"Ticker
HDFCBANK.NS    1471.46
Name: 2023-11-08 00:00:00, dtype: float64","Ticker
HDFCBANK.NS    1484.13
Name: 2023-11-15 00:00:00, dtype: float64",0.86,4,0.97
2023-12-04,2023-12-05,"Ticker
HDFCBANK.NS    1587.72
Name: 2023-12-04 00:00:00, dtype: float64","Ticker
HDFCBANK.NS    1601.83
Name: 2023-12-05 00:00:00, dtype: float64",0.89,1,0.856
2023-12-13,2023-12-18,"Ticker
HDFCBANK.NS    1608.93
Name: 2023-12-13 00:00:00, dtype: float64","Ticker
HDFCBANK.NS    1633.4
Name: 2023-12-18 00:00:00, dtype: float64",1.52,3,0.723
