entry_date,exit_date,entry_price,exit_price,pnl_%,hold_days,max_confidence,ticker
2023-05-25,2023-05-26,1110.55,1140.84,2.73,1,0.979,RELIANCE.NS
2023-05-31,2023-06-08,1124.18,1137.72,1.2,6,0.986,RELIANCE.NS
2023-06-08,2023-06-15,1137.72,1161.8,2.12,5,0.921,RELIANCE.NS
2023-06-22,2023-07-03,1154.03,1190.54,3.16,6,0.955,RELIANCE.NS
2023-07-03,2023-07-10,1190.54,1244.86,4.56,5,0.925,RELIANCE.NS
2023-07-10,2023-07-17,1244.86,1272.92,2.25,5,0.975,RELIANCE.NS
2023-07-24,2023-07-26,1226.59,1245.72,1.56,2,0.878,RELIANCE.NS
2023-07-27,2023-07-28,1234.13,1246.54,1.0,1,0.837,RELIANCE.NS
2023-08-04,2023-08-11,1237.51,1256.05,1.5,5,0.969,RELIANCE.NS
2023-08-29,2023-09-06,1201.99,1206.13,0.34,6,0.951,RELIANCE.NS
2023-09-06,2023-09-07,1206.13,1207.77,0.14,1,0.951,RELIANCE.NS
2023-10-04,2023-10-11,1149.25,1164.59,1.34,5,0.983,RELIANCE.NS
2023-10-20,2023-10-31,1141.77,1136.21,-0.49,6,0.947,RELIANCE.NS
2023-10-31,2023-11-02,1136.21,1152.25,1.41,2,0.843,RELIANCE.NS
2023-11-03,2023-11-06,1152.0,1161.59,0.83,1,0.826,RELIANCE.NS
2023-11-07,2023-11-16,1154.04,1172.36,1.59,6,0.929,RELIANCE.NS
2023-11-16,2023-11-24,1172.36,1188.85,1.41,6,0.89,RELIANCE.NS
2023-11-24,2023-11-30,1188.85,1180.68,-0.69,3,0.905,RELIANCE.NS
2023-12-01,2023-12-05,1189.05,1210.63,1.81,2,0.838,RELIANCE.NS
2023-12-07,2023-12-15,1220.21,1239.36,1.57,6,0.885,RELIANCE.NS
2023-12-15,2023-12-26,1239.36,1280.3,3.3,6,0.949,RELIANCE.NS
2023-12-26,2023-12-27,1280.3,1284.68,0.34,1,0.914,RELIANCE.NS
2024-01-03,2024-01-11,1282.91,1350.7,5.28,6,0.977,RELIANCE.NS
2024-01-11,2024-01-12,1350.7,1361.45,0.8,1,0.844,RELIANCE.NS
2024-01-18,2024-01-29,1358.7,1438.25,5.86,5,0.98,RELIANCE.NS
2024-01-30,2024-02-07,1398.1,1432.39,2.45,6,0.992,RELIANCE.NS
2024-02-07,2024-02-09,1432.39,1450.87,1.29,2,0.983,RELIANCE.NS
2024-02-12,2024-02-14,1442.52,1471.35,2.0,2,0.97,RELIANCE.NS
2024-02-15,2024-02-23,1460.65,1483.52,1.57,6,0.985,RELIANCE.NS
2024-02-26,2024-03-01,1477.26,1482.03,0.32,4,0.969,RELIANCE.NS
2024-03-13,2024-03-21,1422.49,1441.16,1.31,6,0.991,RELIANCE.NS
2024-03-21,2024-03-27,1441.16,1482.75,2.89,3,0.87,RELIANCE.NS
2024-04-05,2024-04-08,1450.22,1475.92,1.77,1,0.709,RELIANCE.NS
2024-04-09,2024-04-10,1453.75,1469.57,1.09,1,0.729,RELIANCE.NS
2024-04-12,2024-04-16,1457.22,1455.83,-0.1,2,0.85,RELIANCE.NS
2024-04-23,2024-04-25,1449.45,1450.1,0.04,2,0.938,RELIANCE.NS
2024-05-07,2024-05-15,1391.99,1406.69,1.06,6,0.984,RELIANCE.NS
