ticker,entry_date,exit_date,confidence,return,exit_reason,exit
AARVEEDEN.NS,2024-11-22,2024-11-29,0.83,10.37,HOLD,TP
AARVEEDEN.NS,2024-11-25,2024-12-02,0.844,10.36,HOLD,TP
AARVEEDEN.NS,2024-11-26,2024-12-03,0.826,10.35,HOLD,TP
AARVEEDEN.NS,2024-11-27,2024-12-04,0.824,10.35,HOLD,TP
AARVEEDEN.NS,2024-11-28,2024-12-05,0.824,10.36,HOLD,TP
AARVEEDEN.NS,2024-11-29,2024-12-06,0.83,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-02,2024-12-09,0.807,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-03,2024-12-10,0.807,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-04,2024-12-11,0.82,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-05,2024-12-12,0.87,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-06,2024-12-13,0.88,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-09,2024-12-16,0.88,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-10,2024-12-17,0.809,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-11,2024-12-18,0.832,10.39,HOLD,TP
AARVEEDEN.NS,2024-12-12,2024-12-19,0.841,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-13,2024-12-20,0.841,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-16,2024-12-23,0.826,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-17,2024-12-24,0.826,8.68,HOLD,TP
AARVEEDEN.NS,2024-12-18,2024-12-26,0.81,8.16,HOLD,TP
AARVEEDEN.NS,2024-12-19,2024-12-27,0.814,8.17,HOLD,TP
AARVEEDEN.NS,2024-12-20,2024-12-30,0.814,8.18,HOLD,TP
AARVEEDEN.NS,2024-12-23,2024-12-31,0.814,8.18,HOLD,TP
AARVEEDEN.NS,2024-12-24,2025-01-01,0.837,9.86,HOLD,TP
AARVEEDEN.NS,2024-12-26,2025-01-02,0.859,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-27,2025-01-03,0.896,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-30,2025-01-06,0.902,8.63,HOLD,TP
AARVEEDEN.NS,2024-12-31,2025-01-07,0.902,8.61,HOLD,TP
AARVEEDEN.NS,2025-01-01,2025-01-08,0.902,8.61,HOLD,TP
AARVEEDEN.NS,2025-01-02,2025-01-09,0.902,8.61,HOLD,TP
AARVEEDEN.NS,2025-01-03,2025-01-10,0.891,8.62,HOLD,TP
AARVEEDEN.NS,2025-01-06,2025-01-13,0.902,10.37,HOLD,TP
AARVEEDEN.NS,2025-01-07,2025-01-14,0.896,6.45,HOLD,TP
AARVEEDEN.NS,2025-01-08,2025-01-15,0.902,5.91,HOLD,TP
AARVEEDEN.NS,2025-01-09,2025-01-16,0.902,5.04,HOLD,TP
AARVEEDEN.NS,2025-01-10,2025-01-17,0.88,4.88,HOLD,TP
21STCENMGM.NS,2024-11-28,2024-12-05,0.663,1.9,HOLD,TP
21STCENMGM.NS,2024-12-02,2024-12-09,0.647,5.06,HOLD,TP
21STCENMGM.NS,2024-12-03,2024-12-10,0.633,2.51,HOLD,TP
21STCENMGM.NS,2024-12-05,2024-12-12,0.601,-5.36,HOLD,TP
21STCENMGM.NS,2024-12-16,2024-12-23,0.616,-0.72,HOLD,TP
21STCENMGM.NS,2024-12-17,2024-12-24,0.653,-1.06,HOLD,TP
21STCENMGM.NS,2024-12-18,2024-12-26,0.656,1.23,HOLD,TP
21STCENMGM.NS,2024-12-19,2024-12-27,0.685,-0.15,HOLD,TP
21STCENMGM.NS,2024-12-20,2024-12-30,0.69,0.13,HOLD,TP
21STCENMGM.NS,2024-12-23,2024-12-31,0.706,-1.35,HOLD,TP
21STCENMGM.NS,2024-12-24,2025-01-01,0.67,-0.78,HOLD,TP
21STCENMGM.NS,2024-12-27,2025-01-03,0.642,4.32,HOLD,TP
21STCENMGM.NS,2025-01-16,2025-01-23,0.693,0.69,HOLD,TP
21STCENMGM.NS,2025-02-01,2025-02-07,0.608,4.39,HOLD,TP
21STCENMGM.NS,2025-03-19,2025-03-26,0.645,7.57,HOLD,TP
21STCENMGM.NS,2025-03-20,2025-03-27,0.709,8.97,HOLD,TP
21STCENMGM.NS,2025-03-21,2025-03-28,0.726,4.99,HOLD,TP
21STCENMGM.NS,2025-03-24,2025-04-01,0.614,4.83,HOLD,TP
21STCENMGM.NS,2025-03-25,2025-04-02,0.601,4.45,HOLD,TP
ABMINTLLTD.NS,2024-11-22,2024-11-29,0.754,9.78,HOLD,TP
ABMINTLLTD.NS,2024-11-25,2024-12-02,0.717,6.97,HOLD,TP
ABMINTLLTD.NS,2024-11-26,2024-12-03,0.625,-1.73,HOLD,TP
ABMINTLLTD.NS,2024-11-27,2024-12-04,0.63,0.57,HOLD,TP
ABMINTLLTD.NS,2024-11-28,2024-12-05,0.649,0.23,HOLD,TP
ABMINTLLTD.NS,2024-12-11,2024-12-18,0.622,1.95,HOLD,TP
ABMINTLLTD.NS,2024-12-23,2024-12-31,0.633,10.27,HOLD,TP
ABMINTLLTD.NS,2024-12-26,2025-01-02,0.605,13.98,HOLD,TP
ABMINTLLTD.NS,2024-12-27,2025-01-03,0.691,3.37,HOLD,TP
ABMINTLLTD.NS,2024-12-30,2025-01-06,0.645,-5.06,HOLD,TP
ABMINTLLTD.NS,2025-01-07,2025-01-14,0.629,3.23,HOLD,TP
ABMINTLLTD.NS,2025-01-29,2025-02-04,0.624,8.39,HOLD,TP
ABMINTLLTD.NS,2025-01-30,2025-02-05,0.636,7.6,HOLD,TP
ABMINTLLTD.NS,2025-01-31,2025-02-06,0.61,3.89,HOLD,TP
ABMINTLLTD.NS,2025-02-01,2025-02-07,0.603,-4.7,HOLD,TP
ABMINTLLTD.NS,2025-02-13,2025-02-20,0.614,-13.27,HOLD,TP
ABMINTLLTD.NS,2025-03-03,2025-03-10,0.638,14.28,HOLD,TP
ABMINTLLTD.NS,2025-03-04,2025-03-11,0.616,13.42,HOLD,TP
ABMINTLLTD.NS,2025-03-05,2025-03-12,0.648,6.88,HOLD,TP
