ticker,entry_date,exit_date,confidence,return,exit_reason,exit
AARVEEDEN.NS,2024-11-22,2024-11-29,0.822,10.37,HOLD,TP
AARVEEDEN.NS,2024-11-25,2024-12-02,0.829,10.36,HOLD,TP
AARVEEDEN.NS,2024-11-26,2024-12-03,0.829,10.35,HOLD,TP
AARVEEDEN.NS,2024-11-27,2024-12-04,0.829,10.35,HOLD,TP
AARVEEDEN.NS,2024-11-28,2024-12-05,0.829,10.36,HOLD,TP
AARVEEDEN.NS,2024-11-29,2024-12-06,0.829,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-02,2024-12-09,0.829,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-03,2024-12-10,0.829,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-04,2024-12-11,0.861,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-05,2024-12-12,0.861,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-06,2024-12-13,0.875,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-09,2024-12-16,0.875,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-10,2024-12-17,0.875,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-11,2024-12-18,0.875,10.39,HOLD,TP
AARVEEDEN.NS,2024-12-12,2024-12-19,0.898,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-13,2024-12-20,0.898,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-16,2024-12-23,0.898,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-17,2024-12-24,0.898,8.68,HOLD,TP
AARVEEDEN.NS,2024-12-18,2024-12-26,0.898,8.16,HOLD,TP
AARVEEDEN.NS,2024-12-19,2024-12-27,0.89,8.17,HOLD,TP
AARVEEDEN.NS,2024-12-20,2024-12-30,0.89,8.18,HOLD,TP
AARVEEDEN.NS,2024-12-23,2024-12-31,0.89,8.18,HOLD,TP
AARVEEDEN.NS,2024-12-24,2025-01-01,0.881,9.86,HOLD,TP
AARVEEDEN.NS,2024-12-26,2025-01-02,0.885,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-27,2025-01-03,0.881,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-30,2025-01-06,0.885,8.63,HOLD,TP
AARVEEDEN.NS,2024-12-31,2025-01-07,0.885,8.61,HOLD,TP
AARVEEDEN.NS,2025-01-01,2025-01-08,0.885,8.61,HOLD,TP
AARVEEDEN.NS,2025-01-02,2025-01-09,0.885,8.61,HOLD,TP
AARVEEDEN.NS,2025-01-03,2025-01-10,0.884,8.62,HOLD,TP
AARVEEDEN.NS,2025-01-06,2025-01-13,0.884,10.37,HOLD,TP
AARVEEDEN.NS,2025-01-07,2025-01-14,0.879,6.45,HOLD,TP
AARVEEDEN.NS,2025-01-08,2025-01-15,0.884,5.91,HOLD,TP
AARVEEDEN.NS,2025-01-09,2025-01-16,0.884,5.04,HOLD,TP
AARVEEDEN.NS,2025-01-10,2025-01-17,0.884,4.88,HOLD,TP
AARVEEDEN.NS,2025-01-13,2025-01-20,0.884,2.82,HOLD,TP
AARVEEDEN.NS,2025-01-14,2025-01-21,0.662,4.92,HOLD,TP
AARVEEDEN.NS,2025-01-15,2025-01-22,0.682,3.77,HOLD,TP
AARVEEDEN.NS,2025-01-16,2025-01-23,0.718,1.48,HOLD,TP
AARVEEDEN.NS,2025-01-17,2025-01-24,0.731,-2.36,HOLD,TP
AARVEEDEN.NS,2025-01-20,2025-01-27,0.743,-4.3,HOLD,TP
AARVEEDEN.NS,2025-01-21,2025-01-28,0.681,-6.57,HOLD,TP
AARVEEDEN.NS,2025-01-22,2025-01-29,0.687,-8.77,HOLD,TP
AARVEEDEN.NS,2025-02-11,2025-02-18,0.608,0.57,HOLD,TP
21STCENMGM.NS,2025-01-31,2025-02-06,0.62,1.21,HOLD,TP
21STCENMGM.NS,2025-02-01,2025-02-07,0.618,4.39,HOLD,TP
21STCENMGM.NS,2025-02-04,2025-02-11,0.607,-1.92,HOLD,TP
21STCENMGM.NS,2025-02-19,2025-02-27,0.605,1.88,HOLD,TP
21STCENMGM.NS,2025-02-20,2025-02-28,0.609,6.04,HOLD,TP
21STCENMGM.NS,2025-02-24,2025-03-04,0.61,1.9,HOLD,TP
21STCENMGM.NS,2025-03-20,2025-03-27,0.601,8.97,HOLD,TP
21STCENMGM.NS,2025-03-21,2025-03-28,0.621,4.99,HOLD,TP
ABMINTLLTD.NS,2025-02-17,2025-02-24,0.602,-6.87,HOLD,TP
