ticker,entry_date,exit_date,confidence,return,exit_reason,exit,volatility,position_size
AARVEEDEN.NS,2024-11-26,2024-12-03,0.718,10.35,HOLD,TP,,
AARVEEDEN.NS,2024-11-27,2024-12-04,0.728,10.35,HOLD,TP,,0.02
AARVEEDEN.NS,2024-11-28,2024-12-05,0.761,10.36,HOLD,TP,0.001,0.02
AARVEEDEN.NS,2024-11-29,2024-12-06,0.769,10.37,HOLD,TP,0.0009,0.02
AARVEEDEN.NS,2024-12-02,2024-12-09,0.785,10.37,HOLD,TP,0.0008,0.02
AARVEEDEN.NS,2024-12-03,2024-12-10,0.794,10.38,HOLD,TP,0.0007,0.02
AARVEEDEN.NS,2024-12-04,2024-12-11,0.819,10.37,HOLD,TP,0.0008,0.02
AARVEEDEN.NS,2024-12-05,2024-12-12,0.825,10.37,HOLD,TP,0.0008,0.02
AARVEEDEN.NS,2024-12-06,2024-12-13,0.825,10.37,HOLD,TP,0.0008,0.02
AARVEEDEN.NS,2024-12-09,2024-12-16,0.821,10.38,HOLD,TP,0.0007,0.02
AARVEEDEN.NS,2024-12-10,2024-12-17,0.687,10.38,HOLD,TP,0.0007,0.02
AARVEEDEN.NS,2024-12-11,2024-12-18,0.692,10.39,HOLD,TP,0.0007,0.02
AARVEEDEN.NS,2024-12-12,2024-12-19,0.703,10.38,HOLD,TP,0.0006,0.02
AARVEEDEN.NS,2024-12-13,2024-12-20,0.727,10.38,HOLD,TP,0.0006,0.02
AARVEEDEN.NS,2024-12-16,2024-12-23,0.726,10.37,HOLD,TP,0.0006,0.02
AARVEEDEN.NS,2024-12-17,2024-12-24,0.717,8.68,HOLD,TP,0.0006,0.02
AARVEEDEN.NS,2024-12-18,2024-12-26,0.722,8.16,HOLD,TP,0.0006,0.02
AARVEEDEN.NS,2024-12-19,2024-12-27,0.746,8.17,HOLD,TP,0.0007,0.02
AARVEEDEN.NS,2024-12-20,2024-12-30,0.746,8.18,HOLD,TP,0.0007,0.02
AARVEEDEN.NS,2024-12-23,2024-12-31,0.718,8.18,HOLD,TP,0.0006,0.02
AARVEEDEN.NS,2024-12-24,2025-01-01,0.652,9.86,HOLD,TP,0.0653,0.02
AARVEEDEN.NS,2024-12-26,2025-01-02,0.689,10.38,HOLD,TP,0.0665,0.02
AARVEEDEN.NS,2024-12-27,2025-01-03,0.693,10.38,HOLD,TP,0.0654,0.02
AARVEEDEN.NS,2024-12-30,2025-01-06,0.726,8.63,HOLD,TP,0.0644,0.02
AARVEEDEN.NS,2024-12-31,2025-01-07,0.803,8.61,HOLD,TP,0.0633,0.02
AARVEEDEN.NS,2025-01-01,2025-01-08,0.819,8.61,HOLD,TP,0.0623,0.02
AARVEEDEN.NS,2025-01-02,2025-01-09,0.811,8.61,HOLD,TP,0.0613,0.02
