ticker,entry_date,exit_date,confidence,return,exit_reason,exit
AARVEEDEN.NS,2024-11-22,2024-11-29,0.835,10.37,HOLD,TP
AARVEEDEN.NS,2024-11-25,2024-12-02,0.854,10.36,HOLD,TP
AARVEEDEN.NS,2024-11-26,2024-12-03,0.824,10.35,HOLD,TP
AARVEEDEN.NS,2024-11-27,2024-12-04,0.82,10.35,HOLD,TP
AARVEEDEN.NS,2024-11-28,2024-12-05,0.82,10.36,HOLD,TP
AARVEEDEN.NS,2024-11-29,2024-12-06,0.831,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-02,2024-12-09,0.793,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-03,2024-12-10,0.793,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-04,2024-12-11,0.793,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-05,2024-12-12,0.877,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-06,2024-12-13,0.884,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-09,2024-12-16,0.884,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-10,2024-12-17,0.765,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-11,2024-12-18,0.803,10.39,HOLD,TP
AARVEEDEN.NS,2024-12-12,2024-12-19,0.803,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-13,2024-12-20,0.803,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-16,2024-12-23,0.777,10.37,HOLD,TP
AARVEEDEN.NS,2024-12-17,2024-12-24,0.777,8.68,HOLD,TP
AARVEEDEN.NS,2024-12-18,2024-12-26,0.751,8.16,HOLD,TP
AARVEEDEN.NS,2024-12-19,2024-12-27,0.764,8.17,HOLD,TP
AARVEEDEN.NS,2024-12-20,2024-12-30,0.764,8.18,HOLD,TP
AARVEEDEN.NS,2024-12-23,2024-12-31,0.764,8.18,HOLD,TP
AARVEEDEN.NS,2024-12-24,2025-01-01,0.807,9.86,HOLD,TP
AARVEEDEN.NS,2024-12-26,2025-01-02,0.842,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-27,2025-01-03,0.907,10.38,HOLD,TP
AARVEEDEN.NS,2024-12-30,2025-01-06,0.914,8.63,HOLD,TP
AARVEEDEN.NS,2024-12-31,2025-01-07,0.914,8.61,HOLD,TP
AARVEEDEN.NS,2025-01-01,2025-01-08,0.914,8.61,HOLD,TP
AARVEEDEN.NS,2025-01-02,2025-01-09,0.914,8.61,HOLD,TP
AARVEEDEN.NS,2025-01-03,2025-01-10,0.896,8.62,HOLD,TP
AARVEEDEN.NS,2025-01-06,2025-01-13,0.914,10.37,HOLD,TP
AARVEEDEN.NS,2025-01-07,2025-01-14,0.907,6.45,HOLD,TP
AARVEEDEN.NS,2025-01-08,2025-01-15,0.914,5.91,HOLD,TP
AARVEEDEN.NS,2025-01-09,2025-01-16,0.914,5.04,HOLD,TP
AARVEEDEN.NS,2025-01-10,2025-01-17,0.877,4.88,HOLD,TP
21STCENMGM.NS,2024-11-28,2024-12-05,0.73,1.9,HOLD,TP
21STCENMGM.NS,2024-12-02,2024-12-09,0.714,5.06,HOLD,TP
21STCENMGM.NS,2024-12-03,2024-12-10,0.693,2.51,HOLD,TP
21STCENMGM.NS,2024-12-04,2024-12-11,0.612,-1.5,HOLD,TP
21STCENMGM.NS,2024-12-05,2024-12-12,0.64,-5.36,HOLD,TP
21STCENMGM.NS,2024-12-16,2024-12-23,0.67,-0.72,HOLD,TP
21STCENMGM.NS,2024-12-17,2024-12-24,0.735,-1.06,HOLD,TP
21STCENMGM.NS,2024-12-18,2024-12-26,0.735,1.23,HOLD,TP
21STCENMGM.NS,2024-12-19,2024-12-27,0.753,-0.15,HOLD,TP
21STCENMGM.NS,2024-12-20,2024-12-30,0.75,0.13,HOLD,TP
21STCENMGM.NS,2024-12-23,2024-12-31,0.783,-1.35,HOLD,TP
21STCENMGM.NS,2024-12-24,2025-01-01,0.74,-0.78,HOLD,TP
21STCENMGM.NS,2024-12-26,2025-01-02,0.608,0.93,HOLD,TP
21STCENMGM.NS,2024-12-27,2025-01-03,0.711,4.32,HOLD,TP
21STCENMGM.NS,2024-12-31,2025-01-07,0.612,0.96,HOLD,TP
21STCENMGM.NS,2025-01-16,2025-01-23,0.782,0.69,HOLD,TP
21STCENMGM.NS,2025-01-17,2025-01-24,0.61,-1.16,HOLD,TP
21STCENMGM.NS,2025-02-01,2025-02-07,0.602,4.39,HOLD,TP
21STCENMGM.NS,2025-03-19,2025-03-26,0.682,7.57,HOLD,TP
21STCENMGM.NS,2025-03-20,2025-03-27,0.781,8.97,HOLD,TP
21STCENMGM.NS,2025-03-21,2025-03-28,0.795,4.99,HOLD,TP
21STCENMGM.NS,2025-03-24,2025-04-01,0.633,4.83,HOLD,TP
21STCENMGM.NS,2025-03-25,2025-04-02,0.611,4.45,HOLD,TP
