ticker,date,direction,confidence,volatility,position_size,regime
AKG.NS,2025-04-12,long,0.6756,0.5924,0.0017,0
ALOKINDS.NS,2025-04-12,long,0.7285,0.3847,0.0044,0
ANTGRAPHIC.NS,2025-04-12,long,0.6599,0.39,0.0039,0
ATALREAL.NS,2025-04-12,long,0.7533,0.3567,0.0053,0
ATLANTAA.NS,2025-04-12,long,0.7857,0.5333,0.0025,0
BEPL.NS,2025-04-12,long,0.7169,0.4807,0.0028,0
BINANIIND.NS,2025-04-12,long,0.7125,3.1558,0.0001,0
BLBLIMITED.NS,2025-04-12,long,0.7103,0.8144,0.001,0
COMPINFO.NS,2025-04-12,long,0.6548,0.7043,0.0012,0
COUNCODOS.NS,2025-04-12,long,0.7211,0.4261,0.0036,0
CREATIVEYE.NS,2025-04-12,long,0.6711,0.2952,0.0069,0
CURAA.NS,2025-04-12,long,0.7078,1.114,0.0005,0
DIL.NS,2025-04-12,long,0.7523,0.6017,0.0019,0
DWARKESH.NS,2025-04-12,long,0.6631,0.6453,0.0014,0
ELGIRUBCO.NS,2025-04-12,long,0.6575,0.163,0.02,0
EMBDL.NS,2025-04-12,long,0.6869,0.4691,0.0028,0
EUROTEXIND.NS,2025-04-12,long,0.6892,0.9209,0.0007,0
FEL.NS,2025-04-12,long,0.6841,0.2989,0.0069,0
FLFL.NS,2025-04-12,long,0.7633,0.6839,0.0015,0
FOCUS.NS,2025-04-12,long,0.6598,0.6756,0.0013,0
FSC.NS,2025-04-12,long,0.7634,0.5112,0.0026,0
GATECHDVR.NS,2025-04-12,long,0.7792,0.4428,0.0036,0
GOYALALUM.NS,2025-04-12,long,0.7145,0.4151,0.0037,0
GREENPOWER.NS,2025-04-12,long,0.659,0.6073,0.0016,0
GTLINFRA.NS,2025-04-12,long,0.657,0.3959,0.0038,0
GVKPIL.NS,2025-04-12,long,0.6676,0.2858,0.0074,0
HATHWAY.NS,2025-04-12,long,0.6867,0.4194,0.0035,0
HCC.NS,2025-04-12,long,0.7603,0.7006,0.0014,0
HDIL.NS,2025-04-12,long,0.76,0.7064,0.0014,0
IMPEXFERRO.NS,2025-04-12,long,0.669,0.2989,0.0067,0
INFOMEDIA.NS,2025-04-12,long,0.6684,0.4641,0.0028,0
JHS.NS,2025-04-12,long,0.7811,0.426,0.0039,0
KELLTONTEC.NS,2025-04-12,long,0.716,0.4416,0.0033,0
KRIDHANINF.NS,2025-04-12,long,0.7523,1.2799,0.0004,0
KRITIKA.NS,2025-04-12,long,0.6581,0.2535,0.0092,0
LAL.NS,2025-04-12,long,0.6732,0.4447,0.0031,0
MARSHALL.NS,2025-04-12,long,0.6706,1.0672,0.0005,0
MEGASOFT.NS,2025-04-12,long,0.6744,0.3832,0.0041,0
MORARJEE.NS,2025-04-12,long,0.797,0.8667,0.001,0
NDL.NS,2025-04-12,long,0.6943,0.7838,0.001,0
NEXTMEDIA.NS,2025-04-12,long,0.7024,0.4545,0.0031,0
NILAINFRA.NS,2025-04-12,long,0.701,0.4976,0.0025,0
OMKARCHEM.NS,2025-04-12,long,0.7026,0.5893,0.0018,0
ORIENTALTL.NS,2025-04-12,long,0.6872,0.4316,0.0033,0
PILITA.NS,2025-04-12,long,0.6784,0.5927,0.0017,0
RAJRILTD.NS,2025-04-12,long,0.7317,0.3014,0.0072,0
RAMANEWS.NS,2025-04-12,long,0.6624,0.0015,0.02,0
RAMASTEEL.NS,2025-04-12,long,0.6508,0.3639,0.0044,0
RHFL.NS,2025-04-12,long,0.7377,0.7414,0.0012,0
ROLLT.NS,2025-04-12,long,0.7379,0.3498,0.0054,0
RTNINDIA.NS,2025-04-12,long,0.6665,0.6089,0.0016,0
RTNPOWER.NS,2025-04-12,long,0.6517,0.6141,0.0016,0
SABEVENTS.NS,2025-04-12,long,0.8074,0.7875,0.0012,0
SAMMAANCAP.NS,2025-04-12,long,0.7177,0.6164,0.0017,0
SBGLP.NS,2025-04-12,long,0.7526,0.2514,0.0107,0
SECURKLOUD.NS,2025-04-12,long,0.7158,1.2918,0.0004,0
SHRENIK.NS,2025-04-12,long,0.7305,0.7125,0.0013,0
SHYAMCENT.NS,2025-04-12,long,0.7452,0.3687,0.0049,0
SIMBHALS.NS,2025-04-12,long,0.6851,0.5499,0.002,0
SINDHUTRAD.NS,2025-04-12,long,0.7372,0.8685,0.0009,0
SPCENET.NS,2025-04-12,long,0.7042,0.5957,0.0018,0
SRPL.NS,2025-04-12,long,0.7172,0.5009,0.0026,0
SUPREMEENG.NS,2025-04-12,long,0.6874,0.8601,0.0008,0
SURYODAY.NS,2025-04-12,long,0.6903,0.4927,0.0026,0
SYNCOMF.NS,2025-04-12,long,0.7008,0.6057,0.0017,0
TARAPUR.NS,2025-04-12,long,0.7599,0.2152,0.0148,0
TCIFINANCE.NS,2025-04-12,long,0.681,0.4672,0.0028,0
TECILCHEM.NS,2025-04-12,long,0.6669,2.3552,0.0001,0
TVVISION.NS,2025-04-12,long,0.7997,0.7343,0.0013,0
UMESLTD.NS,2025-04-12,long,0.6802,0.7427,0.0011,0
UNIINFO.NS,2025-04-12,long,0.7743,0.4383,0.0036,0
VIJIFIN.NS,2025-04-12,long,0.6693,0.6597,0.0014,0
YESBANK.NS,2025-04-12,long,0.653,0.3428,0.005,0
ZEEMEDIA.NS,2025-04-12,long,0.6536,0.6239,0.0015,0
